question,answer,video,index,character
Are there any ladies only sports and fitness facilities at NYUAD?,"NYUAD provides a ladies only gymnasium, ladies only physical education classes and training sessions, as well as ladies only swimming hours. ",,1147,katarina
What is the availability and cost of personal training at NYUAD?,"Our fitness center offers personal training sessions free of cost, as well as group classes that are open to students, faculty and staff on a first come first served basis. ",,1148,katarina
What resources does NYUAD provide to support students with taking care of their mental health? ,Our Health and Wellness centre provides confidential counseling services available for all students. Peer to peer support is also provided through REACH a student organization. ,,1149,katarina
How does NYUAD support students with their post graduation careers while in their final year? ,The Career Development Centre supports seniors in determining and working towards their career path through one-on-one career counseling sessions that are available throughout senior year. They offer support for job search and applications as well as global award applications and graduate school preparation.,,1150,katarina
How does NYUAD support students with their professional development throughout their time at NYUAD? ,"The Career Development Centre supports students in building their professional skills througout their four years through workshops, events and one-on-one couseling sessions and by helping them in their search, selection and sometimes funding of opportunities including internships throughout the year including the summer, on-campus jobs and more. ",,1151,katarina
What are the health and well-being services that NYUAD provides for its students? ,"NYUAD health and wellbeing support includes counsellors, dieticians, on-campus doctors and nurses as well as personal trainers, rehabilitation support and more. ",,1152,katarina
Does NYUAD have a health center on campus?,"We have a Health and Wellness center on campus that supports students in identifying and treating common medical conditions as well as providing counselling support. Our on-campus clinical staff will refer students to health professionals in Abu Dhabi, where necessary. ",,1153,katarina
What are the food options available on campus? ,"There are various food options on campus including the Dining Hall, the Library Cafe, the Market Place, Blacksmith Coffee and Sushi Counter that house a number of dining options for students, community members and campus visitors.   ",,1154,katarina
What are Campus Dirhams? ,Campus dirhams are credits available for students to spend in the dining outlets as well as the convenience store. ,,1155,katarina
What is a Meal Plan? ,"Meal plans provide a certain number of meals per week for students, as well as a certain amount of campus dirhams that can be used around campus. ",,1156,katarina
How does NYUAD support students in building their professional skills? ,Advancement Opportunities Funding - Summer Funding - Testing Funding - Mock interviews - Internships ,,1157,katarina
May you please tell me more about the dorms at NYUAD? ,"NYU Abu Dhabi residential colleges are divided into three buildings, where the floors are separated by gender. There are also designated areas within the residential colleges dedicated to non-visitation community, where individuals of the opposite sex are not permitted entry. Each floor has an assigned Resident Assistant (RA) to promote education, health, and safety and community development. Students are assigned either single or double (shared) bedroooms within each dorm. ",,1158,katarina
Can I choose to live with my friend in the dorms? ,"First year students are allocated dorm rooms based on a preference form as part of the housing application. After the first year, students get the opportunity to choose who they share dorms with. ",,1159,katarina
What are the roles of resident assitants? ,"An RA has many roles and responsibilities, including, but not limited to, providing programming opportunities to build a strong community, acting as a para-counselor for students, being a familiar first resource for academic or institutional questions, and enforcing residential college policies.",,1160,katarina
How can a student go about becoming an RA?,Students can apply to become RAs. They undergo a rigorous selection and training process to best support their residents. ,,1161,katarina
Does NYUAD provide dorms for its students? ,All students are offered dorms on campus including students who live in the UAE or in Abu Dhabi. ,,1162,katarina
Where are NYUAD dorms located?,"All dorms are located on our Saadiyat campus. The highline, or the second floor, marks the residential area. ",,1163,katarina
How do people commute between campus and the city?,"Our students commute beween campus and the city through NYUAD provided shuttles, taxis or the Abu Dhabi bus which stops in front of our welcome centre. ",,1164,katarina
What is the dress code on campus? ,"NYUAD is an open campus which members of the public are welcome to visit. As such, when students are in public areas of the university, they are expected to dress modestly, in accordance with local custom. Dressing modestly is defined as keeping your shoulders and knees covered. Dressing modestly does not include covering your hair. ",,1165,katarina
Do I have to learn Arabic if I attend NYUAD? ,"Students studying at NYU Abu Dhabi don't have to learn Arabic as the language of instruction is English, although many of our students do choose to enroll in Arabic Language classes that are offered. ",,1166,katarina
Is there a curfew for people who live in dorms? ,Our residential campus does not enforce a curfew on students living in the dorms. ,,1167,katarina
How can I get involved with research on campus? ,"To get involved with faculty research on campus, the best way to go about it is to reach out to the faculty member you are intersted in working with, learn about their research and suggest to help out with the research. ",,1168,katarina
If I am a student can I work with professors on their research? ,"Given the small ratio of students to faculty members at NYU Abu Dhabi, students here get a lot of opportunities to get involved with faculty research on campus, whether throughout the semesters, or during the summer. ",,1169,katarina
Are classrooms gender segregated at NYUAD? ,"All classrooms at NYU Abu Dhabi are co-educational, except for women only physical education courses. ",,1170,katarina
Are NYUAD students able to study away at NYU global sites? ,NYU Abu Dhabi students are encouraged to apply for at least one study away semester in one of our global sites and campuses. ,,1171,katarina
How does NYUAD ensure a safe space for members of the lgbtq community,"NYUAD cares about providing a safe space for all of its students/community members regardless of their ethnicity, nationality, religious affiliation, and any identity association. If you have any specific questions about our diverse community please reach out to our Dean of Students office at nyuad.dos@nyu.edu",,1172,katarina
Can I get an on-campus job? Are there on-campus employment opportunities?,"There are a number of student jobs offered on campus, these are called student assistantships. Students can apply for up to 15 hours per week, earning at a rate of 30 AED per hour. ",,1173,katarina
What opportunities does NYUAD provide for students to connect with their host country/UAE? ,"There are a number of programs organized by student life that offer experiences to connect students to the local culture. These range from over-night trips to the Northern Emirates to conversations with Emirati professionals, mixers with students from other local universities, Ramadan and UAE Etiquette programming and so much more. All NYUAD students are encouraged to be curious about local culture and Campus Life as well as fellow Emirati students are passionate about enabling students to get to know their host country as much as possible. ",,1174,katarina
What can I ask you about? ,"You can ask me about campus life, admissions, NYU and Abu Dhabi. I probably won't be able to answer all your questions, but you can always check our website at nyuad.nyu.edu",,1175,katarina
Reply list to â€œwhen somebody compliments meâ€ù: Examples: I like your x / I love your x / You are so x / Nice x! / Thatâ€™s interesting!,Awww thanks!,,1176,katarina
Reply list to â€œwhen somebody compliments meâ€ù: Examples: I like your x / I love your x / You are so x / Nice x! / Thatâ€™s interesting!,Thank you! / Thank you.,,1177,katarina
Reply list to â€œwhen somebody compliments meâ€ù: Examples: I like your x / I love your x / You are so x / Nice x! / Thatâ€™s interesting!,Thank you so much.,,1178,katarina
Reply list to â€œwhen somebody compliments meâ€ù: Examples: I like your x / I love your x / You are so x / Nice x! / Thatâ€™s interesting!,Thatâ€™s sweet of you.,,1179,katarina
Reply list to â€œwhen somebody compliments meâ€ù: Examples: I like your x / I love your x / You are so x / Nice x! / Thatâ€™s interesting!,Thatâ€™s nice of you to say!,,1180,katarina
Reply list to â€œwhen somebody compliments meâ€ù: Examples: I like your x / I love your x / You are so x / Nice x! / Thatâ€™s interesting!,Thanks.,,1181,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),It was great!,,1182,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),I have nothing to complain about.,,1183,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),I really liked it.,,1184,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),I loved it!.,,1185,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),I wouldnâ€™t change a thing!,,1186,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),It was very nice.,,1187,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),Reply list to â€œwhen somebody asks me something I donâ€™t knowâ€ù:,,1188,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),I canâ€™t really answer that.,,1189,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),Iâ€™m not sure..,,1190,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),I donâ€™t really know.,,1191,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),I donâ€™t know how to answer that.,,1192,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),Can you ask me something else?,,1193,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),Thatâ€™s a good question. *in a sly manner*,,1194,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),Itâ€™s best to not talk about that.,,1195,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),"Iâ€™d rather talk about something else, sorry.",,1196,katarina
Reply list to â€œwhen somebody asks how I found somethingâ€ù: Examples: And did you like it? / Was it fun? / How was it? / How did you find x? / What did you think? / Was it nice? (because usually talk about my past experiences which were good anyway),Can we change the subject? *smiles shyly*,,1197,katarina
Reply list to â€œCan you do x?: (and there is no such question in the library),Iâ€™m not sure I can do that.,,1198,katarina
Reply list to â€œCan you do x?: (and there is no such question in the library),"Sorry, not really!",,1199,katarina
Reply list to â€œCan you do x?: (and there is no such question in the library),"Nope, can you?",,1200,katarina
Reply list to â€œCan you do x?: (and there is no such question in the library),I wish I could!,,1201,katarina
Reply list to â€œDo you miss x?:,Sometimes I do!,,1202,katarina
Reply list to â€œDo you miss x?:,Of course!,,1203,katarina
Reply list to â€œDo you miss x?:,"Yes, a lot.",,1204,katarina
Reply list to â€œDo you miss x?:,Very much.,,1205,katarina
Reply list to â€œDo you miss x?:,I sure do.,,1206,katarina
(Reply list to confusing question),Sorry what?,,1207,katarina
(Reply list to confusing question),What did you say?,,1208,katarina
(Reply list to confusing question),Can you repeat that?,,1209,katarina
Look around ,,,1210,katarina
Drink water,,,1211,katarina
Fix hair,,,1212,katarina
Other filler,,,1213,katarina
