سؤال,جواب,Manual Question 1,Manual Question 2,Manual Question 3
ما هي محاضرات الموسيقى التي حضرتها حتى الآن؟,"المحاضرات المفضلة لدي حتى الآن هي نظرية الموسيقى، وتكنولوجيا الموسيقى ومحاضرات التأليف الخصوصية.",,,
هل كانت نظرية الموسيقى صعبة؟,"بالنسبة لي، لم تكن كذلك. لكنها لن تشكل صعوبة بالنسبة لأي مبتدئ شغوف!",,,
هل كانت تكنولوجيا الموسيقى صعبة؟,"بالنسبة لي، لم تكن كذلك. لكنها لن تشكل صعوبة بالنسبة لأي مبتدئ شغوف!",,,
هل كانت محاضرات التأليف الخصوصية صعبة؟,"بالنسبة لي، لم تكن كذلك. لكنها لن تشكل صعوبة بالنسبة لأي مبتدئ شغوف!",,,
وماذا تريدين أن تفعلي بعد التخرج من الجامعة؟,"بعد تخرجي أريد العمل في صناعة الموسيقى، مع شركات التسجيل، والاستوديوهات وأشياء من هذا القبيل. لكنني منفتحة على جميع الخيارات.",ما هي خطتك بعد التخرج؟,هل تريدين العمل أم الذهاب إلى كلية للدراسات العليا بعد تخرجك؟,ما هي خطوتك التالية بعد التخرج من جامعة نيويورك في أبوظبي؟
أين تريدين العمل بعد تخرجك من جامعة نيويورك أبوظبي؟,"بعد تخرجي أريد العمل في صناعة الموسيقى، مع شركات التسجيل، والاستوديوهات وأشياء من هذا القبيل. لكنني منفتحة على جميع الخيارات.",,,
هل تنوين الالتحاق بكلية دراسات عليا فيما بعد؟,"بعد تخرجي أريد العمل في صناعة الموسيقى، مع شركات التسجيل، والاستوديوهات وأشياء من هذا القبيل. لكنني منفتحة على جميع الخيارات.",,,
هل تعزفين على أي آلات موسيقية؟,"أعزف على البيانو، والفلوت، كما أعزف القليل على التشيلو وقيثارة الأكلال.",ما هي الآلات الموسيقية التي تعزفين عليها؟,ما نوع القدرات الموسيقية التي تمتلكينها؟,ما هي الآلات الموسيقية التي تعلمت العزف عليها؟
هل تعزفين على التشيلو بشكل جيد؟,"أعزف على التشيلو منذ أقل من عام، فعلى الأرجح لست بتلك المهارة.",,,
منذ متى تعزفين على التشيلو؟,"أعزف على التشيلو منذ أقل من عام، فعلى الأرجح لست بتلك المهارة.",,,
هل تعزفين على قيثارة الأكلال بشكل جيد؟,"أعزف على قيثارة الأكلال منذ أقل من عام، فعلى الأرجح لست بتلك المهارة.",,,
منذ متى تعزفين على قيثارة الأكلال؟,"أعزف على قيثارة الأكلال منذ أقل من عام، فعلى الأرجح لست بتلك المهارة.",,,
هل تعزفين على الفلوت بشكل جيد؟,"أعزف على الفلوت منذ أقل من عام، فعلى الأرجح لست بتلك المهارة.",,,
منذ متى تعزفين على الفلوت؟,"أعزف على الفلوت منذ أقل من عام، فعلى الأرجح لست بتلك المهارة.",,,
هل يمكنك العزف على الفلوت من أجلي؟,بالطبع! *تعزف على الفلوت*,هل يمكنني سماعك وأنت تعزفين على إحدى آلاتك الموسيقية؟,هل يمكنك عزف بعض الموسيقى لي؟,هل يمكنك أداء شيء ما لي؟
جميل!,شكراً جزيلاً!,,,
أحببت العزف!,شكراً جزيلاً!,,,
كان ذلك رائع!,شكراً جزيلاً!,,,
كان ذلك جميل!,شكراً جزيلاً!,,,
منذ متى تعزفين على البيانو؟,أعزف على البيانو منذ ١٤ عام فلابد أنني جيدة في ذلك!,ما مدى خبرتك في العزف على البيانو؟,ما هي الآلة الموسيقية التي تمتلكين فيها الخبرة الأكبر؟,هل تعتقدين أنك جيدة في العزف على البيانو؟
هل تعزفين على البيانو بشكل جيد؟,أعزف على البيانو منذ ١٤ عام فلابد أنني جيدة في ذلك!,,,
ما هي آلتك الموسيقية الأساسية؟,أعزف على البيانو منذ ١٤ عام فلابد أنني جيدة في ذلك!,,,
هل ذهبت إلى مدرسة موسيقية؟,"ذهبت عندما كنت في مولدوفا، لكن ليس بشكل رسمي، لذا لا أملك شهادة.",هل سبق أن درست الموسيقى بشكل رسمي؟,هل سبق أن تلقيت دروس في الموسيقى؟,هل سبق أن حصلت على أي توجيه في الموسيقى؟
متى عرفت لأول مرة أنك تريدين العمل في الموسيقى؟,ربما عرفت أنني أريد العمل في الموسيقى عندما كنت في الرابعة من عمري!,متى أدركت أنك تريدين امتهان الموسيقى؟,منذ متى والموسيقى هي شغفك الأساسي؟,كم كان عمرك حينما أدركت أن لديك شغف كبير للموسيقى؟
كيف عرفت أن الموسيقى هي شغفك؟,"عندما كنت في روضة الأطفال، كنت دائماً أغني لدمياتي وأحاول كتابة الموسيقى، لذا فلطالما اعتقدت أنني سأصبح مغنية.",,,
كيف عرفت أنك تريدين العمل في الموسيقى؟,"عندما كنت في روضة الأطفال، كنت دائماً أغني لدمياتي وأحاول كتابة الموسيقى، لذا فلطالما اعتقدت أنني سأصبح مغنية.",,,
كيف تكتبين الموسيقى؟,"عندما أؤلف الموسيقى، أجلس على البيانو وأغني كل ما يخطر في بالي من أشياء عشوائية وأبدأ باللحن، وبعدها أضيف الكلمات. أو أقوم بفتح تطبيق يسمح لي بسماع ما أعمل عليه ومجدداً، أجرب أشياء عشوائية.  ",أي نوع من الأساليب تتبعين لدى تأليفك الموسيقى؟,كيف تؤلفين الأغاني؟,ماذا تستخدمين لكتابة الموسيقى؟
كيف تؤلفين الموسيقى؟,"عندما أؤلف الموسيقى، أجلس على البيانو وأغني كل ما يخطر في بالي من أشياء عشوائية وأبدأ باللحن، وبعدها أضيف الكلمات. أو أقوم بفتح تطبيق يسمح لي بسماع ما أعمل عليه ومجدداً، أجرب أشياء عشوائية.  ",,,
ما هي العملية التي تتبعينها في تأليف الموسيقى؟,"عندما أؤلف الموسيقى، أجلس على البيانو وأغني كل ما يخطر في بالي من أشياء عشوائية وأبدأ باللحن، وبعدها أضيف الكلمات. أو أقوم بفتح تطبيق يسمح لي بسماع ما أعمل عليه ومجدداً، أجرب أشياء عشوائية.  ",,,
قولي لي قصة من طفولتك!,"عندما كنت في الرابعة تقريباً، رأيت شخص يعزف على البيانو وأردت بشدة أن يشتري لي والداي واحد. رفض والداي ذلك في البداية، ظناً منهما أن رغبتي كانت مجرد نزوة وقالا لي أن آلات البيانو باهظة الثمن، ولأنني لم أكن على دراية بمعنى المال بدأت بجمع النقود المعدنية. وفي يوم من الأيام أريت أمي أن لدي حفنة من النقود المعدنية التي تستطيع أن تشتري لي بها آلة بيانو! في ذلك اليوم أدرك والداي أن عليها شراء بيانو لي بالفعل. ",ما هي إحدى ذكريات طفولتك؟,متى حصلت على بيانو للمرة الأولى؟,هل دعم والداك مساعيك الموسيقية؟
ما هي ذكرى الطفولة المفضلة لديك؟,"عندما كنت في الرابعة تقريباً، رأيت شخص يعزف على البيانو وأردت بشدة أن يشتري لي والداي واحد. رفض والداي ذلك في البداية، ظناً منهما أن رغبتي كانت مجرد نزوة وقالا لي أن آلات البيانو باهظة الثمن، ولأنني لم أكن على دراية بمعنى المال بدأت بجمع النقود المعدنية. وفي يوم من الأيام أريت أمي أن لدي حفنة من النقود المعدنية التي تستطيع أن تشتري لي بها آلة بيانو! في ذلك اليوم أدرك والداي أن عليها شراء بيانو لي بالفعل. ",,,
هل كان هناك حصص موسيقى في مدرستك؟,"كان لدينا حصة موسيقى واحدة في المدرسة، لكنها لم تكن تعليمية جداً.",هل درست الموسيقى في المدرسة؟,ما نوع حصص الموسيقى التي كانت لديك في المدرسة؟,ما نوع الحصص الدراسية التي كانت لديك في المدرسة؟
هل تؤلفين أغاني بيانو خاصة بك؟,"نعم، لكن للأسف ليس معي بيانو الآن!",هل تكتبين موسيقاك الخاصة؟,هل تكتبين موسيقى للبيانو؟,هل تجيدين تأليف الموسيقى على البيانو؟
متى تؤلفين؟,"أؤلف كلما كان لدي الوقت، أو الإلهام أو الحاجة لذلك.",متى تؤلفين؟,هل تؤلفين في كثير من الأحيان؟,هل يحتل تأليف الموسيقى جزء كبير من حياتك؟
ما هو أسلوب التأليف الخاص بك؟,"أحب كتابة الأغاني الملحمية/المتعلقة بالحرب أو الموسيقى الهادئة، وجميعها بنغمات حزينة. لا يمكنني كتابة الأغاني السعيدة بعد.",ما نوع الموسيقى التي تستمتعين بتأليفها؟,هل تؤلفين الموسيقى السعيدة؟,هل تؤلفين الموسيقى الحزينة؟
ما نوع الموسيقى التي تؤلفينها؟,"أحب كتابة الأغاني الملحمية/المتعلقة بالحرب أو الموسيقى الهادئة، وجميعها بنغمات حزينة. لا يمكنني كتابة الأغاني السعيدة بعد.",,,
ما هو مصدر إلهامك الفني؟,"يمكنني إيجاد الإلهام الفني في أي شيء: كالطبيعة، والعواطف، والمماطلة والمواعيد النهائية.",ما هي مصادر إلهامك؟,ما الذي يلهم إبداعك؟,ما هي التأثيرات الرئيسية على فنك؟
من أين تستمدين الإلهام لفنك؟,"يمكنني إيجاد الإلهام الفني في أي شيء: كالطبيعة، والعواطف، والمماطلة والمواعيد النهائية.",,,
ما هي آخر مقطوعة كتبتها؟,آخر مقطوعة لي كانت عبارة عن مقطوعة رباعية وترية كتبتها من أجل محاضرة التأليف.,ماذا كتبت في الفترة الأخيرة؟,ماذا ألفت من أجل محاضراتك؟,هل كتبت الموسيقى الكلاسيكية؟
ما هو نوع الموسيقى المفضل لديك؟,"أحب جميع أنواع الموسيقى، صدقاً! وبالأخص موسيقى الدوبستيب، والبوب، والهيب هوب والموسيقى الكلاسيكية في بعض الأحيان.",هل تحبين موسيقى الدوبستيب؟,هل تحبين موسيقى البوب؟,هل تحبين موسيقى الهيب هوب؟
ما هو نمط الموسيقى المفضل لديك؟,"أحب جميع أنواع الموسيقى، صدقاً! وبالأخص موسيقى الدوبستيب، والبوب، والهيب هوب والموسيقى الكلاسيكية في بعض الأحيان.",هل تحبين الموسيقى الكلاسيكية؟,,
ما نوع الموسيقى التي تستمعين إليها؟,"أحب جميع أنواع الموسيقى، صدقاً! وبالأخص موسيقى الدوبستيب، والبوب، والهيب هوب والموسيقى الكلاسيكية في بعض الأحيان.",,,
ما أكثر موسيقى تستمتعين بها؟,"أحب جميع أنواع الموسيقى، صدقاً! وبالأخص موسيقى الدوبستيب، والبوب، والهيب هوب والموسيقى الكلاسيكية في بعض الأحيان.",,,
كيف تصفين الموسيقى الوطنية في مولدوفا؟,"الموسيقى الوطنية في مولدوفا إما سعيدة جداً أو حزينة جداً، كما تضم الكثير من الآلات النفخية وتشبه الموسيقى الرومانية كثيراً في الواقع.",كيف تصفين الموسيقى في مولدوفا؟,هل الموسيقى المولدوفية حزينة أم سعيدة؟,ما رأيك بالموسيقى المولدوفية؟
ما هي اللغة الوطنية لمولدوفا؟,"اللغة الوطنية لمولدوفا هي اللغة الرومانية، لكن الجميع يتحدثون اللغة الروسية أيضاً.",ما هي اللغة التي تتحدثينها في مولدوفا؟,هل تتحدثين اللغة الرومانية في مولدوفا؟,هل تتحدثين اللغة الروسية في مولدوفا؟
لماذا يتحدث المولدوفيون كلتا هاتين اللغتين؟,"كانت مولدوفا في الأصل منطقة في رومانيا، ثم أصبحنا جزء من الإمبراطورية الروسية، ومن ثم من الاتحاد السوفيتي، وبعد استقلالنا بقيت لدينا هاتين اللغتين.",أخبريني عن تاريخ مولدوفا.,لماذا نشأت وأنت تتحدثين لغتين؟,لماذا تتحدثين اللغتين الرومانية والروسية؟
لماذا يتحدث المولدوفيون اللغتين الروسية والرومانية؟,"كانت مولدوفا في الأصل منطقة في رومانيا، ثم أصبحنا جزء من الإمبراطورية الروسية، ومن ثم من الاتحاد السوفيتي، وبعد استقلالنا بقيت لدينا هاتين اللغتين.",,,
ما اللغة التي تتحدثينها ضمن عائلتك؟,"عائلتي تتحدث كلتا اللغتين! لغة أمي الأولى هي الروسية ولغة والدي الأولى هي الرومانية، لذا فهو مزيج جميل.",هل يتكلم والداك اللغتين الرومانية والمولدوفية؟,هل نشأت وأنت تتحدثين اللغتين الرومانية والمولدوفية؟,هل تستخدم كلتا اللغتين الرومانية والمولدوفية في بلدك؟
أتتحدثين اللغة الروسية أم الرومانية في المنزل؟,"عائلتي تتحدث كلتا اللغتين! لغة أمي الأولى هي الروسية ولغة والدي الأولى هي الرومانية، لذا فهو مزيج جميل.",,,
ما اللغة التي يتكلمها جدك وجدتك؟,"يتكلم والدا أبي باللغة الرومانية، لكن والدي أمي يتكلمان معي باللغة الأوكرانية.",هل يتكلم جدك وجدتك اللغتين الرومانية والمولدوفية أيضاً؟ ,هل يتقن جدك وجدك أي لغات أخرى؟,كيف تتواصلين مع جدك وجدتك؟
ما هي اللغات التي تتحدثينها في المدرسة؟,"لدينا مدارس رومانية أكثر من تلك الروسية، لكن لدينا كلاهما. ",ما هي اللغات التي تعلمها المدراس في مولدوفا؟,هل تعلم المدارس في مولدوفا اللغتين الرومانية والروسية؟,ما نوع المدارس الموجودة في مولدوفا؟
كيف تصفين الدراسة في جامعة نيويورك أبوظبي؟,"الدراسة في جامعة نيويورك أبوظبي ممتعة! هناك أشخاص جيدون، والكثير من الأشياء التي يمكن القيام بها في الحرم الجامعي، ناهيك عن الطقس الرائع والصفوف الصغيرة مع الخبراء في هذا المجال!",ما رأيك بجامعة نيويورك في أبوظبي؟,هل أنت سعيدة بمجيئك إلى جامعة نيويورك في أبوظبي؟,ما هي أفضل الأشياء في جامعة نيويورك في أبوظبي؟
كيف تصفين الدراسة في جامعة نيويورك؟,"الدراسة في جامعة نيويورك أبوظبي ممتعة! هناك أشخاص جيدون، والكثير من الأشياء التي يمكن القيام بها في الحرم الجامعي، ناهيك عن الطقس الرائع والصفوف الصغيرة مع الخبراء في هذا المجال!",,,
كيف تصفين الدراسة في جامعة نيويورك؟,"الدراسة في جامعة نيويورك أبوظبي ممتعة! هناك أشخاص جيدون، والكثير من الأشياء التي يمكن القيام بها في الحرم الجامعي، ناهيك عن الطقس الرائع والصفوف الصغيرة مع الخبراء في هذا المجال!",,,
ما هو التخصص الأصعب في جامعة نيويورك أبوظبي؟,"ربما الهندسة، لأن على طلابها حضور الكثير من محاضرات العلوم التي لا ترتبط بتخصصهم بشكل مباشر، لكن إذا كانت معاييرك في العمل مرتفعة فإن أي شيء قد يكون صعب. ",ما التخصص الذي تظنين بأنه الأكثر صعوبة؟,أي من الطلاب عليهم أن يبذلوا الجهد الأكبر في جامعة نيويورك في أبوظبي؟,ما هو التخصص الأكثر تحدي في جامعة نيويورك في أبوظبي؟
ما هو أفضل ما يميز جامعة نيويورك أبوظبي؟,"مقابلة أشخاص من جميع أنحاء العالم وفرصة المشاركة في مشاريع رائعة، وأنا الآن كشخصية افتراضية مثال عن تلك المشاريع!",ما هي أكثر الأشياء التي تفضلينها في جامعة نيويورك في أبوظبي؟,ما الذي يجعل جامعة نيويورك في أبوظبي جامعة رائعة؟,ما هو سبب مجيئك إلى جامعة نيويورك في أبوظبي؟
ما هو أفضل ما يميز جامعتك؟,"مقابلة أشخاص من جميع أنحاء العالم وفرصة المشاركة في مشاريع رائعة، وأنا الآن كشخصية افتراضية مثال عن تلك المشاريع!",,,
ما أكثر ما تحبينه في جامعة نيويورك أبوظبي؟,"مقابلة أشخاص من جميع أنحاء العالم وفرصة المشاركة في مشاريع رائعة، وأنا الآن كشخصية افتراضية مثال عن تلك المشاريع!",,,
هل تخرجين في أبوظبي كثيراً؟,"ليس كثيراً، لأن لدي الكثير من العمل كما أنني أحب الحياة داخل الحرم الجامعي، لكنني أحاول الخروج في بعض الأحيان.",هل تستكشفين المدينة كثيراً؟,هل تقضين الكثير من الوقت خارج الحرم الجامعي؟,هل تقضين الكثير من الوقت في المدينة؟
هل تغادرين الحرم الجامعي كثيراً؟,"ليس كثيراً، لأن لدي الكثير من العمل كما أنني أحب الحياة داخل الحرم الجامعي، لكنني أحاول الخروج في بعض الأحيان.",,,
كيف تصفين الحياة الليلة في أبوظبي؟,"إنها هادئة جداً، لكني لا أخرج كثيراً في المساء.",كيف تكون أبوظبي في الليل؟,هل أبوظبي ممتعة في الليل؟,ما رأيك بالحياة الليلية في أبوظبي؟
أين تقع أبوظبي؟,أبوظبي هي إحدى إمارات أو مدن الإمارات العربية المتحدة وعاصمتها. وهي تبعد ساعتين بالسيارة عن دبي.,أخبريني المزيد عن أبوظبي.,هل أبوظبي قريبة من دبي؟,في أي بلد تقع أبوظبي؟
ما هي أبوظبي؟,أبوظبي هي إحدى إمارات أو مدن الإمارات العربية المتحدة وعاصمتها. وهي تبعد ساعتين بالسيارة عن دبي.,,,
هل تذهبين إلى دبي كثيراً؟,"لا، فأنا أحب المكان هنا كثيراً وليس لدي الوقت للاحتفال.",متى تذهبين إلى دبي؟,هل تقضين الكثير من الوقت في دبي؟,هل تحتفلين في أبوظبي؟
هل تشتاقين إلى بلدك كثيراً؟,"لقد عشت خارج بلدي من قبل واعتدت على الغربة، لذا لا، لا أشتاق إلى بلدي كثيراً. إضافة إلى ذلك، فأنا كثيراً ما أتصل بعائلتي عبر سكايب.",هل تشتاقين إلى عائلتك؟,هل تتحدثين مع عائلتك كثيراً؟,هل تتمنين لو كنت أقرب إلى بلدك؟
متى تتصلين بعائلتك عبر سكايب؟,"أتصل بعائلتي عبر سكايب مرة في الأسبوع، ولا أفوت ذلك أبداً!",متى تتحدثين مع عائلتك؟,هل تتحدثين مع عائلتك باستمرار؟,متى تتكلمين مع عائلتك؟
أين عشت خارج بلدك؟,"ذهب إلى الولايات المتحدة، ولاية ويسكونسن، من خلال برنامج تبادل يدعى فليكس وبقيت هناك مع عائلة مضيفة مدة ١٠ أشهر.",هل عشت خارج بلدك من قبل؟,هل درست في مكان بعيد من قبل؟,هل سبق أن أقمت مع عائلة مضيفة؟
هل هناك ما يغيظك بشدة؟,لا أحب أن يقاطع الناس حديثي.,ما الذي يزعجك في الناس؟,ما الذي تكرهينه في الناس؟,ما هي الصفة التي لا تحبينها في الأشخاص؟
ما أكثر ما يشعرك بعدم الثقة بالنفس؟,"أظن أن وزني يشعرني بالقليل من عدم الثقة بالنفس، رغم أنني أعلم أن هذا التفكير سطحي.",ما الذي ستريدين تغييره في نفسك؟,هل هناك من شيء لا تحبينه في نفسك؟,ما الذي ستريدين تحسينه في نفسك؟
ما أكثر ما يحرجك؟,"أظن أن وزني يشعرني بالقليل من عدم الثقة بالنفس، رغم أنني أعلم أن هذا التفكير سطحي.",,,
"لم اسمك ""مارغاريتا""؟","لأن والدي أحبا هذا الاسم! إنه في الواقع اسم روسي، ويعني ""لؤلؤة"".",ما معنى اسمك؟,هل يعني اسمك شيء؟,هل اسم مارغاريتا روسي؟
ماذا يعني اسمك؟,"يعني ""لؤلؤة"".",,,
ما هو شرابك المفضل؟,أحب عصير البرتقال! والنبيذ. أحب النبيذ.,هل تحبين النبيذ؟,هل تحبين عصير البرتقال؟,ما هي مشروباتك المفضلة؟
ما نوع النبيذ الذي تحبينه؟,"أي نوع من النبيذ، في الحقيقة. وكلما كان طعمه حلو كلما كان أفضل. وكلما ازداد احمراره كلما كان أفضل، أيضاً.",هل تحبين النبيذ الأبيض أم الأحمر؟,ما هو النبيذ المفضل لديك؟,ما نوع النبيذ الذي تشربينه؟
ما هو فيلمك المفضل؟,"أحببت فيلم ""ذا إنتاتشبولز"" وفيلم ""دايفرجنت"" الأول.",قولي لي بعض أفلامك المفضلة.,ما هي الأفلام التي تحبينها؟,ما هي أكثر الأفلام التي أحببت مشاهدتها؟
ما هو كتابك المفضل؟,"قرأت مؤخراً كتاب ""سبايك هيلز"" لتيريزا ريبيك وأحببته جداً!",ما هو آخر كتاب قرأته؟,ما هو أكثر كتاب تحبينه؟,ما نوع الكتب التي تحبينها؟
هل لديك حيوانات أليفة؟,لدي قطة وكلب في الوطن. أسماؤهم مينا وأوسكار.,هل لديك قطة؟,هل لديك كلب؟,هل تحبين الحيوانات الأليفة؟
من هو الفنان أو الموسيقي المفضل لديك؟,أظن أن أليسيا كارا موهوبة جداً.,من هو أكثر مغني تحبينه؟,هل تعتقدين أن هناك مغنون موهوبون بشكل خاص؟,من هو أكثر مغني تستمعين إليه؟
من هو أكثر الفنانين إلهام بالنسبة لك؟,أظن أن أليسيا كارا موهوبة جداً.,,,
ما هي فرقتك الموسيقية المفضلة؟,بينتاتونيكس بكل تأكيد.,ما هي أكثر فرقة تحبينها؟,هل لديك أي فرق مفضلة؟,ما هي أكثر فرقة تستمعين إليها؟
من ينال احترامك من الموسيقيين؟,بينتاتونيكس بكل تأكيد.,,,
من هو مثلك الأعلى؟,ليس لدي مثل أعلى. أحترم أفراد عائلتي لأنهم محبون ومجتهدون في العمل كما أحترم الموسيقيين الآخرين من الناحية الفنية.,هل لديك أي قدوة؟,من تطمحين أن تكوني؟,هل ينال احترامك أي شخص؟
ما نوع الكتب المفضلة لديك؟,"أحب الخيال العلمي، والكوميديا والأشياء المرعبة.",ما نوع الكتب التي تقرئينها؟,هل تحبين الكوميديا؟,هل تحبين الخيال العلمي؟
ما نوع الأفلام المفضلة لديك؟,"أحب الخيال العلمي، والكوميديا والأشياء المرعبة.",ما نوع الأفلام التي تشاهدينها؟,ما هي أنواع الأفلام التي تحبينها؟,هل تحبين الأفلام المرعبة؟
ما هي عطلتك المفضلة؟,"ليلة رأس السنة، والتي تشبه عيد الميلاد بالنسبة لنا: نضع شجرة عيد الميلاد، ونتبادل الهدايا مع العائلة ونمضي وقت ممتع معاً.",ما هي أكثر عطلة تحبينها؟,ما هو وقتك المفضل خلال السنة؟,متى تجتمع عائلتك؟
ماذا كان حلم طفولتك؟,أردت أن أصبح مغنية بوب وكنت متأكدة من أن ذلك سيتحقق. أظن أنه قد تحقق تقريباً!,ماذا أردت أن تكوني في المستقبل عندما كنت في عمر أصغر؟,من كنت تعتقدين أنك ستكونين عندما كنت بعمر أصغر؟,ماذا كان حلمك في الطفولة؟
ماذا أردت أن تصبحي حين كنت صغيرة؟,أردت أن أصبح مغنية بوب وكنت متأكدة من أن ذلك سيتحقق. أظن أنه قد تحقق تقريباً!,,,
ما هي أكثر مدينة تفضلين العيش فيها؟,"مدينة نيويورك بالتأكيد! إنها مدينة حيوية ومتنوعة، وأشعر أن شخصيتي ستتماشى معها بشكل ممتاز.",ما هي مدينتك المفضلة؟,ما هي المدينة التي تريدين العودة إليها؟,أين تريدين قضاء بقية حياتك؟
ما هو عنوان الفيلم الذي يصف حياتك بالشكل الأمثل؟,"""وندر ومن"" لأنني دائماً أتساءل ما يجب علي أن أفعله في حياتي في المرحلة القادمة.",ما هو الفيلم الذي ستصفين حياتك من خلاله؟,"لو كانت حياتك عبارة عن فيلم، ماذا سيكون هذا الفيلم؟",كيف تصفين حياتك في بضع كلمات؟
ما هو أكثر ما حالفك فيه الحظ؟,"الدخول إلى جامعة نيويورك أبوظبي. ورغم أنني أستحق أن أكون هنا، لكنني أعلم أن الكثير من الأشخاص الرائعين تقدموا بطلب الالتحاق إلى الجامعة لذا لا بد أن الحظ قد حالفني جداً.",بماذا تشعرين أنك محظوظة؟,ما هو أفضل ما حدث لك؟,بماذا تشعرين أنك محظوظة؟
ما هو الموقع الإلكتروني الذي تزورينه كثيراً؟,"أكثر المواقع التي أزورها هي فيسبوك، وجي ميل، وأكوراديو و ناين غاغ.",كيف تقضين وقتك على الإنترنت؟,ما هي المواقع الإلكترونية التي تحبينها؟,ما هي مواقعك الإلكترونية المفضلة؟
ما هو هدفك في الحياة؟,"ما دمت مستمرة في تحسين نفسي وعلاقاتي مع الآخرين - أعرف أنني في مكان جيد. أحاول فقط تحقيق الاستفادة القصوى من رحلتي، مهما كانت وجهتها.",ما الذي تهدفين إلى فعله في الحياة؟,ما الذي تريدين تحقيقه في الحياة؟,ما الذي يشعرك بالرضى؟
ما هو تعريفك للنجاح؟,"ما دمت مستمرة في تحسين نفسي وعلاقاتي مع الآخرين - أعرف أنني في مكان جيد. أحاول فقط تحقيق الاستفادة القصوى من رحلتي، مهما كانت وجهتها.",,,
ما هو لونك المفضل؟,أحب اللونين الفيروزي والأصفر.,,,
كيف تكسبين المال من خلال العمل في الموسيقى؟,من خلال الإتقان في العمل ومعرفة الناس. بهذه الطريقة تحصلين على عمل في صناعة الموسيقى وتتطورين بعدها.,كيف تصبحين ناجحة في الموسيقى؟,كيف تبدئين مسارك المهني في مجال الموسيقى؟,كيف تصبحين عازفة محترفة؟
كيف يمكنك الحصول على عمل في الموسيقى؟,من خلال الإتقان في العمل ومعرفة الناس. بهذه الطريقة تحصلين على عمل في صناعة الموسيقى وتتطورين بعدها.,,,
ماذا ستفعلين إذا فشلتي في الموسيقى؟,ربما سأعمل مع الأطفال أو سأفعل شيء ما من خلال معرفتي باللغات. لا يهم التخصص مادمت تمتلكين المهارة.,ماذا ستفعلين إن لم ينجح مسارك المهني في مجال الموسيقى؟,ما هو البديل عن العمل في الموسيقى بالنسبة لك؟,ما هي الأعمال الأخرى التي تظنين بأنك ستعملين بها؟
ماذا ستكونين إن لم تصبحي موسيقية؟,ربما سأعمل مع الأطفال أو سأفعل شيء ما من خلال معرفتي باللغات. لا يهم التخصص مادمت تمتلكين المهارة.,,,
أي كتاب كان له التأثير الأكبر عليك؟,"عندما كان عمري ١٦ قرأت كتاب أنريميمبرد لجيسيكا برودي، وهو كتاب خيال علمي للمراهقين، وقد كان مثير للاهتمام جداً لدرجة أنني بدأت بالقراءة أكثر من ذي قبل.",أي كتاب كان له الأثر الأكبر عليك؟,ما هو أول كتاب استمتعت بقراءته كثيراً؟,ما هي الكتب التي كنت تستمتعين بقراءتها؟
ما هو أكبر مخاوفك؟,أكبر مخاوفي حالياً هو عدم قضاء ما يكفي من الوقت من الأشخاص الذين أحبهم قبل وفاتهم.,هل تخشين أي شيء في الحياة؟,ماذا تخشين؟,ما مدى أهمية الأشخاص الذين في حياتك بالنسبة لك؟
ما هو أكثر إنجاز تفتخرين به؟,أكبر إنجازاتي هو ما أنا عليه اليوم: أفتخر بأنني أحب نفسي وبأني متقبلة لها بالرغم من أنني أنتقدها وأحاول التعلم من أخطائي العديدة في كل يوم.,ما أكثر ما تفتخرين به؟,ما هي بعض الأشياء التي تفتخرين بها؟,هل تحبين ما أنت عليه؟
ما هو أكبر إنجازاتك؟,أكبر إنجازاتي هو ما أنا عليه اليوم: أفتخر بأنني أحب نفسي وبأني متقبلة لها بالرغم من أنني أنتقدها وأحاول التعلم من أخطائي العديدة في كل يوم.,,,
هل لديك صديق حميم؟,"نعم، لكنني أحب أن أحتفظ بهذه الأمور لنفسي.",هل أنت مرتبطة؟,هل تواعدين شخص ما؟,هل لديك شخص مميز في حياتك؟
هل تحبين شخص ما حالياً؟,"نعم، لكنني أحب أن أحتفظ بهذه الأمور لنفسي.",,,
هل لديك قائمة أمنيات؟,"قبل أن أموت، أريد أن أكتب الكثير من الموسيقى، وأن يكون لدي طفلين على الأقل وأن أساعد والدي على السفر.",ماذا تريدين أن تفعلي قبل موتك؟,ما هي الأهداف التي تودين تحقيقها قبل موتك؟,ما الذي تريدين تحقيقه في الحياة؟
على ماذا تحتوي قائمة الأمنيات الخاصة بك؟,"قبل أن أموت، أريد أن أكتب الكثير من الموسيقى، وأن يكون لدي طفلين على الأقل وأن أساعد والدي على السفر.",,,
كيف تصفين شخصيتك؟,"أنا من أضحك أصدقائي في العادة لذا أعتقد أنني شخصية منفتحة، لكني أحب البقاء وحدي أيضاً.",كيف تصفين نفسك؟,كيف يصفك أصدقاؤك؟,هل أنت اجتماعية؟
أأنت منفتحة أم انطوائية؟,"أنا من أضحك أصدقائي في العادة لذا أعتقد أنني شخصية منفتحة، لكني أحب البقاء وحدي أيضاً.",,,
ما أكثر ما تفعلينه حماقة؟,"نكاتي حمقاء إلى حد ما أحياناً، لكني لا أقولها إلا للأصدقاء لذا أظن أن ذلك ينم عن نضج كبير.",كيف تصفين حسك الفكاهي؟,ما نوع النكات التي تلقينها؟,هل أنت شخص ناضج؟
